algorithm,keygen_time_ms,encap_time_ms,decap_time_ms,ciphertext_length,shared_secret_length,overhead_bytes,total_time_ms,correctness,type,text_size_kb,text_length_bytes,run_id,timestamp,security_level_bits,security_level
Classic-McEliece-8192128f,139.85085487365723,0.1308917999267578,75.45113563537598,208,32,176,215.43288230895996,True,KEM,0.5,512,1,2025-04-07T09:04:22.942777,256,3
HQC-128,0.4680156707763672,0.9551048278808594,1.3439655303955078,4433,64,4369,2.7670860290527344,True,KEM,0.5,512,1,2025-04-07T09:04:22.945553,128,1
HQC-192,1.317739486694336,2.621173858642578,3.9179325103759766,8978,64,8914,7.856845855712891,True,KEM,0.5,512,1,2025-04-07T09:04:22.953422,192,2
HQC-256,2.3682117462158203,4.760026931762695,7.17473030090332,14421,64,14357,14.302968978881836,True,KEM,0.5,512,1,2025-04-07T09:04:22.967740,256,3
Kyber512,0.029087066650390625,0.015735626220703125,0.0069141387939453125,768,32,736,0.05173683166503906,True,KEM,0.5,512,1,2025-04-07T09:04:22.967806,128,1
Kyber768,0.02384185791015625,0.019073486328125,0.010013580322265625,1088,32,1056,0.052928924560546875,True,KEM,0.5,512,1,2025-04-07T09:04:22.967866,192,2
Kyber1024,0.027894973754882812,0.0209808349609375,0.014066696166992188,1568,32,1536,0.0629425048828125,True,KEM,0.5,512,1,2025-04-07T09:04:22.967940,256,3
ML-KEM-512,0.012874603271484375,0.011920928955078125,0.010967254638671875,768,32,736,0.035762786865234375,True,KEM,0.5,512,1,2025-04-07T09:04:22.967988,128,1
ML-KEM-768,0.015974044799804688,0.015974044799804688,0.016927719116210938,1088,32,1056,0.04887580871582031,True,KEM,0.5,512,1,2025-04-07T09:04:22.968044,192,2
ML-KEM-1024,0.02288818359375,0.0209808349609375,0.024080276489257812,1568,32,1536,0.06794929504394531,True,KEM,0.5,512,1,2025-04-07T09:04:22.968130,256,3
sntrup761,1.7199516296386719,0.07033348083496094,0.11277198791503906,1039,32,1007,1.9030570983886719,True,KEM,0.5,512,1,2025-04-07T09:04:22.970044,128,1
FrodoKEM-640-AES,0.2422332763671875,0.3399848937988281,0.31685829162597656,9720,16,9704,0.8990764617919922,True,KEM,0.5,512,1,2025-04-07T09:04:22.970956,128,1
